
## 安徽大学飞跃手册系列（123 条）

来源：安徽大学飞跃手册GitHub仓库。
档案文件：`backend/internal/yantuseed/profiles_ahu_feyue_1.go / profiles_ahu_feyue_2.go`

| 序号 | 人生 Agent 显示名 | 原归属来源 | 原归属账号 | 新登录邮箱 | 初始密码 |
|-----|------------------|-----------|------------|------------|----------|
| 329 | 红薯_可可 | 安大飞跃手册 | yantu-import@demo.com | cap_plum08@163.com | YantuLa2026! |
| 330 | 核桃_咖啡 | 安大飞跃手册 | yantu-import@demo.com | bloomarc64@163.com | YantuLa2026! |
| 331 | 沉默的山楂9 | 安大飞跃手册 | yantu-import@demo.com | nodedusk79@163.com | YantuLa2026! |
| 332 | 桃子修电脑 | 安大飞跃手册 | yantu-import@demo.com | plum_rain95@163.com | YantuLa2026! |
| 333 | 瓢虫爱吃辣 | 安大飞跃手册 | yantu-import@demo.com | plum_seed10@163.com | YantuLa2026! |
| 334 | 快乐的企鹅er | 安大飞跃手册 | yantu-import@demo.com | glow_ray94@163.com | YantuLa2026! |
| 335 | 薯条ya今天早睡 | 安大飞跃手册 | yantu-import@demo.com | mole_iron46@163.com | YantuLa2026! |
| 336 | 桃子x喝绿茶 | 安大飞跃手册 | yantu-import@demo.com | pixel_map85@163.com | YantuLa2026! |
| 337 | 桃子大王写代码 | 安大飞跃手册 | yantu-import@demo.com | lark_mole26@163.com | YantuLa2026! |
| 338 | 牛轧糖下象棋 | 安大飞跃手册 | yantu-import@demo.com | noonvale33@163.com | YantuLa2026! |
| 339 | 柠檬_龙眼 | 安大飞跃手册 | yantu-import@demo.com | loop_pixel84@163.com | YantuLa2026! |
| 340 | 飞翔的荔枝ya | 安大飞跃手册 | yantu-import@demo.com | tide_sun94@163.com | YantuLa2026! |
| 341 | 猫头鹰在学习 | 安大飞跃手册 | yantu-import@demo.com | leaf_vale69@163.com | YantuLa2026! |
| 342 | 巧克力捏泥巴 | 安大飞跃手册 | yantu-import@demo.com | barkpike59@163.com | YantuLa2026! |
| 343 | 慵懒的猫头鹰大王 | 安大飞跃手册 | yantu-import@demo.com | flux_byte99@163.com | YantuLa2026! |
| 344 | 章鱼骑单车 | 安大飞跃手册 | yantu-import@demo.com | duneglen90@163.com | YantuLa2026! |
| 345 | 温柔的兔兔ya | 安大飞跃手册 | yantu-import@demo.com | crowhex74@163.com | YantuLa2026! |
| 346 | 菠萝练瑜伽 | 安大飞跃手册 | yantu-import@demo.com | hex_loop84@163.com | YantuLa2026! |
| 347 | 奔跑的薯片鸭 | 安大飞跃手册 | yantu-import@demo.com | opal_iron51@163.com | YantuLa2026! |
| 348 | 薄荷_荔枝 | 安大飞跃手册 | yantu-import@demo.com | tagonyx37@163.com | YantuLa2026! |
| 349 | 板栗搬砖中 | 安大飞跃手册 | yantu-import@demo.com | leaf_sage96@163.com | YantuLa2026! |
| 350 | 红豆3学画画 | 安大飞跃手册 | yantu-import@demo.com | keypike47@163.com | YantuLa2026! |
| 351 | 安静的酸奶君 | 安大飞跃手册 | yantu-import@demo.com | hex_lark99@163.com | YantuLa2026! |
| 352 | 樱桃3画画中 | 安大飞跃手册 | yantu-import@demo.com | dot_bolt55@163.com | YantuLa2026! |
| 353 | 瓢虫_v喝牛奶 | 安大飞跃手册 | yantu-import@demo.com | swansun20@163.com | YantuLa2026! |
| 354 | 豆奶zzz去爬山 | 安大飞跃手册 | yantu-import@demo.com | loopelk53@163.com | YantuLa2026! |
| 355 | 草莓鸭泡咖啡 | 安大飞跃手册 | yantu-import@demo.com | molesnow98@163.com | YantuLa2026! |
| 356 | 锦鲤_0做饭中 | 安大飞跃手册 | yantu-import@demo.com | rainlake93@163.com | YantuLa2026! |
| 357 | 芒果zzz逛公园 | 安大飞跃手册 | yantu-import@demo.com | lake_carp14@163.com | YantuLa2026! |
| 358 | 柚子吖读论文 | 安大飞跃手册 | yantu-import@demo.com | owl_hare93@163.com | YantuLa2026! |
| 359 | 火龙果君泡咖啡 | 安大飞跃手册 | yantu-import@demo.com | owl_dawn39@163.com | YantuLa2026! |
| 360 | 芒果哈考试周 | 安大飞跃手册 | yantu-import@demo.com | eve_opal39@163.com | YantuLa2026! |
| 361 | 龙眼_柚子 | 安大飞跃手册 | yantu-import@demo.com | leafwave08@163.com | YantuLa2026! |
| 362 | 饺子今天早睡 | 安大飞跃手册 | yantu-import@demo.com | bit_tag22@163.com | YantuLa2026! |
| 363 | 核桃下象棋 | 安大飞跃手册 | yantu-import@demo.com | pinepetal90@163.com | YantuLa2026! |
| 364 | 寿司哈听播客 | 安大飞跃手册 | yantu-import@demo.com | mossvale41@163.com | YantuLa2026! |
| 365 | 拉面z逛公园 | 安大飞跃手册 | yantu-import@demo.com | hextide14@163.com | YantuLa2026! |
| 366 | 迷路的章鱼酱 | 安大飞跃手册 | yantu-import@demo.com | mistjay80@163.com | YantuLa2026! |
| 367 | 鲸鱼煮火锅 | 安大飞跃手册 | yantu-import@demo.com | arc_mist04@163.com | YantuLa2026! |
| 368 | 山楂君在跑步 | 安大飞跃手册 | yantu-import@demo.com | pixelchip12@163.com | YantuLa2026! |
| 369 | 杨梅打篮球 | 安大飞跃手册 | yantu-import@demo.com | byte_seed89@163.com | YantuLa2026! |
| 370 | 麻雀写代码 | 安大飞跃手册 | yantu-import@demo.com | waxcove19@163.com | YantuLa2026! |
| 371 | 沉默的柚子_v | 安大飞跃手册 | yantu-import@demo.com | covebolt29@163.com | YantuLa2026! |
| 372 | 安静的椰子君 | 安大飞跃手册 | yantu-import@demo.com | rosecore22@163.com | YantuLa2026! |
| 373 | 淡定的咖啡oo | 安大飞跃手册 | yantu-import@demo.com | root_noon03@163.com | YantuLa2026! |
| 374 | 芒果_蜻蜓 | 安大飞跃手册 | yantu-import@demo.com | barkvale80@163.com | YantuLa2026! |
| 375 | 芒果7逛公园 | 安大飞跃手册 | yantu-import@demo.com | petaltag32@163.com | YantuLa2026! |
| 376 | 努力的绿豆呀 | 安大飞跃手册 | yantu-import@demo.com | lark_tag19@163.com | YantuLa2026! |
| 377 | 元气的薯条大王 | 安大飞跃手册 | yantu-import@demo.com | brookpixel08@163.com | YantuLa2026! |
| 378 | 柚子z听播客 | 安大飞跃手册 | yantu-import@demo.com | sun_grid28@163.com | YantuLa2026! |
| 379 | 布丁_薄荷 | 安大飞跃手册 | yantu-import@demo.com | ruby_beam26@163.com | YantuLa2026! |
| 380 | 荔枝泡咖啡 | 安大飞跃手册 | yantu-import@demo.com | hare_dot52@163.com | YantuLa2026! |
| 381 | 海星_草莓 | 安大飞跃手册 | yantu-import@demo.com | pathmap48@163.com | YantuLa2026! |
| 382 | 认真的饼干ya | 安大飞跃手册 | yantu-import@demo.com | link_pike12@163.com | YantuLa2026! |
| 383 | 沉默的奶酪zzz | 安大飞跃手册 | yantu-import@demo.com | vale_bloom72@163.com | YantuLa2026! |
| 384 | 鲸鱼_奶茶 | 安大飞跃手册 | yantu-import@demo.com | hazesilk23@163.com | YantuLa2026! |
| 385 | 奔跑的香蕉呀 | 安大飞跃手册 | yantu-import@demo.com | tideplum51@163.com | YantuLa2026! |
| 386 | 沉默的栗子_0 | 安大飞跃手册 | yantu-import@demo.com | pikehaze58@163.com | YantuLa2026! |
| 387 | 奶酪_汉堡 | 安大飞跃手册 | yantu-import@demo.com | hazecore67@163.com | YantuLa2026! |
| 388 | 核桃鸭摸鱼了 | 安大飞跃手册 | yantu-import@demo.com | clay_bass50@163.com | YantuLa2026! |
| 389 | 仓鼠刷题中 | 安大飞跃手册 | yantu-import@demo.com | glenreef28@163.com | YantuLa2026! |
| 390 | 麦芽_v煮火锅 | 安大飞跃手册 | yantu-import@demo.com | sage_star68@163.com | YantuLa2026! |
| 391 | 板栗做饭中 | 安大飞跃手册 | yantu-import@demo.com | byteloop82@163.com | YantuLa2026! |
| 392 | 冰淇淋_薯条 | 安大飞跃手册 | yantu-import@demo.com | glen_path31@163.com | YantuLa2026! |
| 393 | 仓鼠哈喝牛奶 | 安大飞跃手册 | yantu-import@demo.com | seedflux25@163.com | YantuLa2026! |
| 394 | 奶酪_薯片 | 安大飞跃手册 | yantu-import@demo.com | wave_jay05@163.com | YantuLa2026! |
| 395 | 咖啡做饭中 | 安大飞跃手册 | yantu-import@demo.com | mistbrook82@163.com | YantuLa2026! |
| 396 | 牛轧糖_芒果 | 安大飞跃手册 | yantu-import@demo.com | opal_haze24@163.com | YantuLa2026! |
| 397 | 热可可哈的碎碎念 | 安大飞跃手册 | yantu-import@demo.com | elk_reef94@163.com | YantuLa2026! |
| 398 | 刺猬_猫头鹰 | 安大飞跃手册 | yantu-import@demo.com | eve_mint39@163.com | YantuLa2026! |
| 399 | 海豚君下象棋 | 安大飞跃手册 | yantu-import@demo.com | coildove27@163.com | YantuLa2026! |
| 400 | 核桃喝绿茶 | 安大飞跃手册 | yantu-import@demo.com | elk_zinc78@163.com | YantuLa2026! |
| 401 | 核桃_太妃糖 | 安大飞跃手册 | yantu-import@demo.com | lynx_map84@163.com | YantuLa2026! |
| 402 | 抹茶君下象棋 | 安大飞跃手册 | yantu-import@demo.com | rose_moon82@163.com | YantuLa2026! |
| 403 | 安静的蘑菇大王 | 安大飞跃手册 | yantu-import@demo.com | pixelpixel08@163.com | YantuLa2026! |
| 404 | 寿司_v晒太阳 | 安大飞跃手册 | yantu-import@demo.com | dunetag88@163.com | YantuLa2026! |
| 405 | 阳光的桂花__ | 安大飞跃手册 | yantu-import@demo.com | goldorb15@163.com | YantuLa2026! |
| 406 | 椰子爱吃辣 | 安大飞跃手册 | yantu-import@demo.com | rootdawn85@163.com | YantuLa2026! |
| 407 | 认真的香蕉呀 | 安大飞跃手册 | yantu-import@demo.com | swan_clay28@163.com | YantuLa2026! |
| 408 | 瓢虫逛公园 | 安大飞跃手册 | yantu-import@demo.com | loop_swan71@163.com | YantuLa2026! |
| 409 | 瓢虫写代码 | 安大飞跃手册 | yantu-import@demo.com | orb_zinc36@163.com | YantuLa2026! |
| 410 | 蓝莓酱_红豆 | 安大飞跃手册 | yantu-import@demo.com | owl_dawn58@163.com | YantuLa2026! |
| 411 | 小熊在跑步 | 安大飞跃手册 | yantu-import@demo.com | fern_grid82@163.com | YantuLa2026! |
| 412 | 板栗酱打工中 | 安大飞跃手册 | yantu-import@demo.com | seed_frost98@163.com | YantuLa2026! |
| 413 | 薯条看电影 | 安大飞跃手册 | yantu-import@demo.com | pathcap97@163.com | YantuLa2026! |
| 414 | 红豆不吃宵夜 | 安大飞跃手册 | yantu-import@demo.com | ironhex02@163.com | YantuLa2026! |
| 415 | 可可er画画中 | 安大飞跃手册 | yantu-import@demo.com | orbopal15@163.com | YantuLa2026! |
| 416 | 豆沙_梨子 | 安大飞跃手册 | yantu-import@demo.com | core_owl62@163.com | YantuLa2026! |
| 417 | 布丁在发呆 | 安大飞跃手册 | yantu-import@demo.com | starpath73@163.com | YantuLa2026! |
| 418 | 花生_龙眼 | 安大飞跃手册 | yantu-import@demo.com | gearhex40@163.com | YantuLa2026! |
| 419 | 努力的火龙果zzz | 安大飞跃手册 | yantu-import@demo.com | starnode32@163.com | YantuLa2026! |
| 420 | 豆奶_荔枝 | 安大飞跃手册 | yantu-import@demo.com | zincplum22@163.com | YantuLa2026! |
| 421 | 饺子_西瓜 | 安大飞跃手册 | yantu-import@demo.com | tag_coil34@163.com | YantuLa2026! |
| 422 | 自在的芒果干呀 | 安大飞跃手册 | yantu-import@demo.com | ruby_rain62@163.com | YantuLa2026! |
| 423 | 蝴蝶_拉面 | 安大飞跃手册 | yantu-import@demo.com | lacelink69@163.com | YantuLa2026! |
| 424 | 章鱼_0骑单车 | 安大飞跃手册 | yantu-import@demo.com | nodelog23@163.com | YantuLa2026! |
| 425 | 龙眼鸭泡咖啡 | 安大飞跃手册 | yantu-import@demo.com | fern_loop21@163.com | YantuLa2026! |
| 426 | 龙眼_鹿茸 | 安大飞跃手册 | yantu-import@demo.com | zincroot16@163.com | YantuLa2026! |
| 427 | 板栗_椰果 | 安大飞跃手册 | yantu-import@demo.com | ray_star70@163.com | YantuLa2026! |
| 428 | 牛轧糖哈喝绿茶 | 安大飞跃手册 | yantu-import@demo.com | jade_onyx89@163.com | YantuLa2026! |
| 429 | 温柔的蜜桃ya | 安大飞跃手册 | yantu-import@demo.com | silk_key83@163.com | YantuLa2026! |
| 430 | 龙眼骑单车 | 安大飞跃手册 | yantu-import@demo.com | brookgear58@163.com | YantuLa2026! |
| 431 | 布丁搬砖中 | 安大飞跃手册 | yantu-import@demo.com | evemoss37@163.com | YantuLa2026! |
| 432 | 薯条ii要毕业了 | 安大飞跃手册 | yantu-import@demo.com | starowl32@163.com | YantuLa2026! |
| 433 | 核桃_锦鲤 | 安大飞跃手册 | yantu-import@demo.com | lark_opal65@163.com | YantuLa2026! |
| 434 | 豆包追番中 | 安大飞跃手册 | yantu-import@demo.com | noon_dune33@163.com | YantuLa2026! |
| 435 | 燕麦弹吉他 | 安大飞跃手册 | yantu-import@demo.com | dawn_owl91@163.com | YantuLa2026! |
| 436 | 仓鼠_咖啡 | 安大飞跃手册 | yantu-import@demo.com | link_owl88@163.com | YantuLa2026! |
| 437 | 迷路的饼干_0 | 安大飞跃手册 | yantu-import@demo.com | mintcove38@163.com | YantuLa2026! |
| 438 | 酸奶鸭搬砖中 | 安大飞跃手册 | yantu-import@demo.com | twig_moss95@163.com | YantuLa2026! |
| 439 | 柠檬在赶DDL | 安大飞跃手册 | yantu-import@demo.com | star_root14@163.com | YantuLa2026! |
| 440 | 阳光的豆沙7 | 安大飞跃手册 | yantu-import@demo.com | ruby_map60@163.com | YantuLa2026! |
| 441 | 努力的龙眼9 | 安大飞跃手册 | yantu-import@demo.com | rainsage83@163.com | YantuLa2026! |
| 442 | 冰淇淋3画画中 | 安大飞跃手册 | yantu-import@demo.com | covemist06@163.com | YantuLa2026! |
| 443 | 奔跑的冰淇淋_0 | 安大飞跃手册 | yantu-import@demo.com | fern_opal68@163.com | YantuLa2026! |
| 444 | 薯片喝绿茶 | 安大飞跃手册 | yantu-import@demo.com | hazepixel10@163.com | YantuLa2026! |
| 445 | 热可可_薯条 | 安大飞跃手册 | yantu-import@demo.com | pathgear46@163.com | YantuLa2026! |
| 446 | 锦鲤君听播客 | 安大飞跃手册 | yantu-import@demo.com | dotstorm62@163.com | YantuLa2026! |
| 447 | 认真的瓢虫z | 安大飞跃手册 | yantu-import@demo.com | raindusk08@163.com | YantuLa2026! |
| 448 | 芒果干_寿司 | 安大飞跃手册 | yantu-import@demo.com | pine_coil78@163.com | YantuLa2026! |
| 449 | 海豚zzz在图书馆 | 安大飞跃手册 | yantu-import@demo.com | pond_chip96@163.com | YantuLa2026! |
| 450 | 奶茶z听播客 | 安大飞跃手册 | yantu-import@demo.com | sagebyte47@163.com | YantuLa2026! |
| 451 | 机灵的薯片oo | 安大飞跃手册 | yantu-import@demo.com | sage_bark30@163.com | YantuLa2026! |

## 上海大学飞跃手册系列（155 条）

来源：上海大学飞跃手册GitHub仓库。
档案文件：`backend/internal/yantuseed/profiles_shu_feyue_1/2/3.go`

| 序号 | 人生 Agent 显示名 | 原归属来源 | 原归属账号 | 新登录邮箱 | 初始密码 |
|-----|------------------|-----------|------------|------------|----------|
| 452 | 蝴蝶_鹿茸 | 上大飞跃手册 | yantu-import@demo.com | moon_chip93@163.com | YantuLa2026! |
| 453 | 慵懒的拿铁ii | 上大飞跃手册 | yantu-import@demo.com | rootbolt50@163.com | YantuLa2026! |
| 454 | 布丁z写代码 | 上大飞跃手册 | yantu-import@demo.com | loop_lark03@163.com | YantuLa2026! |
| 455 | 栗子学画画 | 上大飞跃手册 | yantu-import@demo.com | gearorb71@163.com | YantuLa2026! |
| 456 | 椰果煮火锅 | 上大飞跃手册 | yantu-import@demo.com | loop_log52@163.com | YantuLa2026! |
| 457 | 迷路的蚂蚁呀 | 上大飞跃手册 | yantu-import@demo.com | molepine84@163.com | YantuLa2026! |
| 458 | 鹿茸_薯条 | 上大飞跃手册 | yantu-import@demo.com | mole_reef04@163.com | YantuLa2026! |
| 459 | 仓鼠在发呆 | 上大飞跃手册 | yantu-import@demo.com | rootorb07@163.com | YantuLa2026! |
| 460 | 薯片_河马 | 上大飞跃手册 | yantu-import@demo.com | frostbrook53@163.com | YantuLa2026! |
| 461 | 栗子_抹茶 | 上大飞跃手册 | yantu-import@demo.com | moon_bloom45@163.com | YantuLa2026! |
| 462 | 太妃糖_桂花 | 上大飞跃手册 | yantu-import@demo.com | rosetide71@163.com | YantuLa2026! |
| 463 | 红豆oo背单词 | 上大飞跃手册 | yantu-import@demo.com | pond_dot26@163.com | YantuLa2026! |
| 464 | 布丁摸鱼了 | 上大飞跃手册 | yantu-import@demo.com | eve_wave65@163.com | YantuLa2026! |
| 465 | 快乐的柿子z | 上大飞跃手册 | yantu-import@demo.com | pixel_twig72@163.com | YantuLa2026! |
| 466 | 柠檬_黑芝麻 | 上大飞跃手册 | yantu-import@demo.com | lark_haze93@163.com | YantuLa2026! |
| 467 | 百香果酱的碎碎念 | 上大飞跃手册 | yantu-import@demo.com | linkorb47@163.com | YantuLa2026! |
| 468 | 鸽子3去散步 | 上大飞跃手册 | yantu-import@demo.com | rubyhex00@163.com | YantuLa2026! |
| 469 | 咖啡__想放假 | 上大飞跃手册 | yantu-import@demo.com | elk_leaf87@163.com | YantuLa2026! |
| 470 | 温柔的蝴蝶大王 | 上大飞跃手册 | yantu-import@demo.com | pine_ray21@163.com | YantuLa2026! |
| 471 | 杨梅_麦芽 | 上大飞跃手册 | yantu-import@demo.com | cap_orb01@163.com | YantuLa2026! |
| 472 | 薯条呀喝牛奶 | 上大飞跃手册 | yantu-import@demo.com | opalclay22@163.com | YantuLa2026! |
| 473 | 柠檬_桂花 | 上大飞跃手册 | yantu-import@demo.com | jade_fern80@163.com | YantuLa2026! |
| 474 | 快乐的泡芙吖 | 上大飞跃手册 | yantu-import@demo.com | rootchip09@163.com | YantuLa2026! |
| 475 | 河马刷题中 | 上大飞跃手册 | yantu-import@demo.com | rootcreek75@163.com | YantuLa2026! |
| 476 | 巧克力_栗子 | 上大飞跃手册 | yantu-import@demo.com | lace_fox51@163.com | YantuLa2026! |
