
## 深圳大学飞跃手册系列（61 条）

来源：深圳大学飞跃手册GitHub仓库。
档案文件：`backend/internal/yantuseed/profiles_szu_feyue.go`

| 序号 | 人生 Agent 显示名 | 原归属来源 | 原归属账号 | 新登录邮箱 | 初始密码 |
|-----|------------------|-----------|------------|------------|----------|
| 688 | 芋圆_梨子 | 深大飞跃手册 | yantu-import@demo.com | leaf_orb25@163.com | YantuLa2026! |
| 689 | 酸奶_企鹅 | 深大飞跃手册 | yantu-import@demo.com | noon_frost24@163.com | YantuLa2026! |
| 690 | 月饼练瑜伽 | 深大飞跃手册 | yantu-import@demo.com | gear_silk44@163.com | YantuLa2026! |
| 691 | 酸奶搬砖中 | 深大飞跃手册 | yantu-import@demo.com | tagglow75@163.com | YantuLa2026! |
| 692 | 花卷打工中 | 深大飞跃手册 | yantu-import@demo.com | petalruby21@163.com | YantuLa2026! |
| 693 | 飞翔的椰果oo | 深大飞跃手册 | yantu-import@demo.com | orbdusk32@163.com | YantuLa2026! |
| 694 | 猫头鹰遛弯了 | 深大飞跃手册 | yantu-import@demo.com | rain_wave68@163.com | YantuLa2026! |
| 695 | 海星在发呆 | 深大飞跃手册 | yantu-import@demo.com | loop_loop47@163.com | YantuLa2026! |
| 696 | 奔跑的兔兔ya | 深大飞跃手册 | yantu-import@demo.com | goldpeak15@163.com | YantuLa2026! |
| 697 | 机灵的华夫饼酱 | 深大飞跃手册 | yantu-import@demo.com | plummoss27@163.com | YantuLa2026! |
| 698 | 章鱼写代码 | 深大飞跃手册 | yantu-import@demo.com | sun_gold46@163.com | YantuLa2026! |
| 699 | 拉面整理笔记 | 深大飞跃手册 | yantu-import@demo.com | pixel_dove15@163.com | YantuLa2026! |
| 700 | 沉默的桃子_0 | 深大飞跃手册 | yantu-import@demo.com | dusklace62@163.com | YantuLa2026! |
| 701 | 苹果吖看星星 | 深大飞跃手册 | yantu-import@demo.com | silk_bark99@163.com | YantuLa2026! |
| 702 | 阳光的果冻哈 | 深大飞跃手册 | yantu-import@demo.com | raypixel14@163.com | YantuLa2026! |
| 703 | 樱桃_0的碎碎念 | 深大飞跃手册 | yantu-import@demo.com | flux_lark72@163.com | YantuLa2026! |
| 704 | 蔓越莓7打篮球 | 深大飞跃手册 | yantu-import@demo.com | creekloop73@163.com | YantuLa2026! |
| 705 | 安静的松鼠君 | 深大飞跃手册 | yantu-import@demo.com | creek_flux98@163.com | YantuLa2026! |
| 706 | 自在的橙子呀 | 深大飞跃手册 | yantu-import@demo.com | bloom_carp72@163.com | YantuLa2026! |
| 707 | 奶茶_杨梅 | 深大飞跃手册 | yantu-import@demo.com | rosegrid72@163.com | YantuLa2026! |
| 708 | 牛轧糖在赶DDL | 深大飞跃手册 | yantu-import@demo.com | creek_wave71@163.com | YantuLa2026! |
| 709 | 年糕_0修电脑 | 深大飞跃手册 | yantu-import@demo.com | stormgold71@163.com | YantuLa2026! |
| 710 | 拿铁要毕业了 | 深大飞跃手册 | yantu-import@demo.com | bitdawn28@163.com | YantuLa2026! |
| 711 | 樱桃遛弯了 | 深大飞跃手册 | yantu-import@demo.com | seeddot57@163.com | YantuLa2026! |
| 712 | 快乐的豆腐z | 深大飞跃手册 | yantu-import@demo.com | arcsilk13@163.com | YantuLa2026! |
| 713 | 桂花酱吹口琴 | 深大飞跃手册 | yantu-import@demo.com | owlpixel19@163.com | YantuLa2026! |
| 714 | 薄荷吃火锅 | 深大飞跃手册 | yantu-import@demo.com | dunemoon41@163.com | YantuLa2026! |
| 715 | 迷路的蜻蜓9 | 深大飞跃手册 | yantu-import@demo.com | bitsun43@163.com | YantuLa2026! |
| 716 | 认真的荔枝7 | 深大飞跃手册 | yantu-import@demo.com | mole_dot50@163.com | YantuLa2026! |
| 717 | 红薯_0写代码 | 深大飞跃手册 | yantu-import@demo.com | flux_bark28@163.com | YantuLa2026! |
| 718 | 迷路的可可小号 | 深大飞跃手册 | yantu-import@demo.com | log_wave48@163.com | YantuLa2026! |
| 719 | 鲸鱼ya吃火锅 | 深大飞跃手册 | yantu-import@demo.com | valedawn22@163.com | YantuLa2026! |
| 720 | 棉花糖_鸡蛋仔 | 深大飞跃手册 | yantu-import@demo.com | dovenoon73@163.com | YantuLa2026! |
| 721 | 蜜桃追番中 | 深大飞跃手册 | yantu-import@demo.com | mistfern14@163.com | YantuLa2026! |
| 722 | 飞翔的寿司3 | 深大飞跃手册 | yantu-import@demo.com | moon_ray01@163.com | YantuLa2026! |
| 723 | 鸽子鸭学画画 | 深大飞跃手册 | yantu-import@demo.com | dune_ray03@163.com | YantuLa2026! |
| 724 | 麻雀钓鱼中 | 深大飞跃手册 | yantu-import@demo.com | opal_snow55@163.com | YantuLa2026! |
| 725 | 阳光的豆沙zzz | 深大飞跃手册 | yantu-import@demo.com | hex_gold06@163.com | YantuLa2026! |
| 726 | 草莓考试周 | 深大飞跃手册 | yantu-import@demo.com | glenbit35@163.com | YantuLa2026! |
| 727 | 酸奶大王喝牛奶 | 深大飞跃手册 | yantu-import@demo.com | petal_rain42@163.com | YantuLa2026! |
| 728 | 石榴__修电脑 | 深大飞跃手册 | yantu-import@demo.com | elk_lace57@163.com | YantuLa2026! |
| 729 | 飞翔的蓝莓x | 深大飞跃手册 | yantu-import@demo.com | petal_dusk29@163.com | YantuLa2026! |
